x,y
0.0,0.0
5.2631578947368425,10.526315789473685
10.526315789473685,21.05263157894737
15.789473684210527,31.578947368421055
21.05263157894737,42.10526315789474
26.315789473684212,52.631578947368425
31.578947368421055,63.15789473684211
36.8421052631579,73.6842105263158
42.10526315789474,84.21052631578948
47.36842105263158,94.73684210526316
52.631578947368425,105.26315789473685
57.89473684210527,115.78947368421053
63.15789473684211,126.31578947368422
68.42105263157896,136.84210526315792
73.6842105263158,147.3684210526316
78.94736842105263,157.89473684210526
84.21052631578948,168.42105263157896
89.47368421052633,178.94736842105266
94.73684210526316,189.47368421052633
100.0,200.0
